Year,Week,Crop Type,Avg Market Price (RM/KG),Month
2015,11,TOMATO (TANAH TINGGI),2.08,Mar
2015,12,BAYAM,1.23,Mar
2015,12,CILI HIJAU,4.26,Mar
2015,12,CILI MERAH KULAI / KULAI HIBRID,5.51,Mar
2015,12,CILI MERAH MINYAK,5.31,Mar
2015,12,CILI PADI,16.2,Mar
2015,12,DAUN SUP (TANAH TINGGI),2.77,Mar
2015,12,HALIA MUDA,5.57,Mar
2015,12,KACANG BENDI,3.42,Mar
2015,12,KACANG BUNCIS,3.63,Mar
2015,12,KACANG PANJANG HIJAU,2.33,Mar
2015,12,KAILAN,2.26,Mar
2015,12,KANGKUNG,1.23,Mar
2015,12,KUBIS BULAT (TANAH TINGGI),0.72,Mar
2015,12,LABU MANIS,1.13,Mar
2015,12,LADA BENGGALA / CAPSICUM HIJAU,4.39,Mar
2015,12,LIMAU KASTURI,4.18,Mar
2015,12,LIMAU NIPIS,3.84,Mar
2015,12,PERIA,2.33,Mar
2015,12,SALAD BULAT TANAH TINGGI,1.85,Mar
2015,12,SAWI HIJAU (TANAH RENDAH),1.48,Mar
2015,12,TERUNG BULAT,2.77,Mar
2015,12,TERUNG PANJANG / PEPARU (TANAH RENDAH),2.83,Mar
2015,12,TIMUN HIJAU,0.98,Mar
2015,12,TOMATO (TANAH TINGGI),1.8,Mar
2015,13,BAYAM,1.26,Mar
2015,13,CILI HIJAU,4.09,Mar
2015,13,CILI MERAH KULAI / KULAI HIBRID,5.33,Mar
2015,13,CILI MERAH MINYAK,5.47,Mar
2015,13,CILI PADI,17.06,Mar
2015,13,DAUN SUP (TANAH TINGGI),3.36,Mar
2015,13,HALIA MUDA,5.57,Mar
2015,13,KACANG BENDI,3.39,Mar
2015,13,KACANG BUNCIS,3.41,Mar
2015,13,KACANG PANJANG HIJAU,2.12,Mar
2015,13,KAILAN,2.34,Mar
2015,13,KANGKUNG,1.23,Mar
2015,13,KUBIS BULAT (TANAH TINGGI),0.89,Mar
2015,13,LABU MANIS,1.23,Mar
